;0;300;600;900;1200;1500;1800;2100;2400;2700
356,000000;0,045320;0,047634;0,052134;0,054697;0,060374;0,063518;0,068567;0,071413;0,075347;0,078991
356,500000;0,042584;0,043731;0,048802;0,051291;0,055947;0,059352;0,064063;0,068289;0,072097;0,074756
357,000000;0,040897;0,041176;0,046614;0,049532;0,052487;0,055598;0,060337;0,065580;0,069754;0,071782
357,500000;0,038329;0,039786;0,045065;0,048595;0,050957;0,054104;0,059281;0,063134;0,067593;0,070240
358,000000;0,036339;0,038346;0,043495;0,046677;0,050020;0,053390;0,058373;0,061707;0,065722;0,068916
358,500000;0,035518;0,036233;0,041415;0,043285;0,048664;0,052087;0,055909;0,060941;0,063938;0,067071
359,000000;0,033587;0,034005;0,038574;0,040477;0,046874;0,049854;0,052918;0,058010;0,061066;0,064988
359,500000;0,031205;0,032353;0,036192;0,039032;0,045032;0,047664;0,050680;0,054114;0,058463;0,063138
360,000000;0,030470;0,031480;0,035690;0,038308;0,043418;0,046675;0,049830;0,052548;0,058217;0,061742
360,500000;0,029086;0,029838;0,035078;0,037246;0,041160;0,045107;0,048836;0,051896;0,057259;0,060061
361,000000;0,025927;0,027064;0,032883;0,035391;0,038299;0,042073;0,046578;0,050419;0,053696;0,057705
361,500000;0,024442;0,025863;0,030535;0,033606;0,037112;0,039953;0,043928;0,048466;0,050700;0,055491
362,000000;0,024967;0,025808;0,029016;0,032467;0,037061;0,039272;0,041919;0,046647;0,049404;0,054054
362,500000;0,025114;0,024280;0,028552;0,032100;0,035643;0,038834;0,041353;0,045494;0,048794;0,053611
363,000000;0,024622;0,023233;0,028628;0,032036;0,034174;0,038230;0,041785;0,044759;0,047895;0,053292
363,500000;0,023539;0,023931;0,028329;0,031486;0,033940;0,037283;0,041918;0,043864;0,046295;0,051944
364,000000;0,020824;0,022339;0,026518;0,029476;0,033033;0,035700;0,039666;0,042210;0,044799;0,048787
364,500000;0,018174;0,019079;0,024303;0,026974;0,031489;0,034201;0,036457;0,040470;0,043840;0,045563
365,000000;0,019220;0,019270;0,024460;0,026419;0,031298;0,034101;0,036472;0,040162;0,043245;0,045635
365,500000;0,020294;0,020455;0,024921;0,026248;0,030680;0,033369;0,036963;0,039482;0,042468;0,045917
366,000000;0,017538;0,018961;0,023155;0,024464;0,028066;0,030384;0,034476;0,036701;0,041092;0,043127
