;0;300;600;900;1200;1500;1800
365,000000;0,049262;0,052121;0,057636;0,061584;0,065531;0,069078;0,075292
365,500000;0,046943;0,049815;0,056671;0,059079;0,063263;0,066596;0,072274
366,000000;0,046586;0,048525;0,054905;0,058565;0,061427;0,065915;0,070364
366,500000;0,046344;0,049075;0,053941;0,058472;0,060558;0,065407;0,069510
367,000000;0,045161;0,050135;0,053843;0,057443;0,060294;0,064029;0,068877
367,500000;0,043893;0,048476;0,052849;0,055407;0,059527;0,062242;0,067484
368,000000;0,043114;0,045760;0,051624;0,053465;0,058235;0,060801;0,066170
368,500000;0,043035;0,045163;0,051449;0,052892;0,056998;0,060288;0,065872
369,000000;0,043324;0,046278;0,051257;0,053639;0,056446;0,060350;0,064700
369,500000;0,043385;0,047346;0,050413;0,054361;0,056318;0,060417;0,062302
370,000000;0,042490;0,046061;0,049556;0,052612;0,055261;0,059894;0,061104
370,500000;0,040969;0,044028;0,048869;0,050071;0,053908;0,058357;0,061105
371,000000;0,039737;0,044068;0,048260;0,049826;0,053603;0,055962;0,060855
371,500000;0,039354;0,044029;0,047900;0,050184;0,053377;0,054660;0,059681
372,000000;0,039434;0,042388;0,047338;0,049426;0,052231;0,054739;0,057767
372,500000;0,038362;0,040691;0,045193;0,047826;0,050148;0,053337;0,056284
373,000000;0,036904;0,040037;0,042885;0,046320;0,048209;0,051316;0,055533
373,500000;0,037078;0,040766;0,043093;0,045984;0,047932;0,051479;0,055142
374,000000;0,038023;0,041903;0,044245;0,046736;0,049236;0,051740;0,054745
374,500000;0,038537;0,042392;0,044417;0,047644;0,050777;0,050438;0,054289
375,000000;0,038461;0,041824;0,043548;0,046954;0,049951;0,049465;0,054223
375,500000;0,037469;0,040231;0,042056;0,044584;0,047076;0,048794;0,053702
376,000000;0,035405;0,038153;0,040639;0,042006;0,044770;0,047003;0,051297
376,500000;0,034479;0,037249;0,040273;0,041150;0,044110;0,045678;0,048826
377,000000;0,035748;0,038192;0,040964;0,042543;0,044954;0,046202;0,048134
