wavelength,tampon,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11
576.02002,0.11954,145.52788,132.91109,124.4596,115.64285,106.517,97.75241,89.96199,80.53519,73.18004,64.56285,56.7586,49.28901,41.7423,35.12352,28.28528,22.26705,21.89541,14.23754,13.76909,13.24417,10.87484,10.96902,10.52957
577.94,0.09319,136.44962,127.45061,118.70394,109.96768,101.82188,93.67844,84.68087,76.37939,69.18209,62.09275,54.1595,46.89941,40.4827,33.46143,26.95886,20.9872,20.35509,13.59238,12.94934,12.74089,10.71249,10.41979,10.06423
580,0.07374,132.31812,120.45164,113.2682,105.42587,97.90403,89.24801,80.37656,72.70081,65.81643,59.08387,51.1536,44.97228,37.84738,31.37225,25.51424,19.99134,19.67923,13.0312,12.40671,11.90701,9.83558,9.89648,9.64108
582.04999,0.09352,123.45433,114.96531,108.74015,99.86204,92.68649,84.42368,77.17415,70.02194,62.72827,56.32257,49.13537,42.84106,35.85457,29.58392,24.17412,19.37293,18.62671,12.30224,11.70652,11.29564,9.64118,9.33496,9.32867
583.96997,0.1016,118.49738,109.98542,101.41085,94.88483,88.21792,81.12371,73.69939,66.75071,59.88227,53.27785,46.10782,40.96582,34.19254,28.51929,22.70463,18.37741,17.6233,11.91126,11.27246,10.70652,9.02214,8.91574,8.87716
586.02002,0.11189,113.32858,103.34867,97.1441,89.89668,83.54263,76.35473,70.09503,63.25887,56.72041,51.00018,44.21865,38.6068,32.78595,27.45717,21.80246,17.56149,17.03476,11.34149,10.66691,10.31511,8.64447,8.47522,8.45763
587.94,0.09262,107.66187,98.49717,93.04217,86.67181,79.75739,72.79813,66.47475,59.90199,53.83852,48.51769,42.07478,37.14798,31.30921,26.16947,21.1384,16.70292,15.98905,10.23177,10.22358,10.10243,8.22095,7.92654,8.08953
590,0.11981,102.84229,94.75211,88.06168,82.05531,76.23454,69.69192,63.51642,56.73374,51.03919,46.0064,39.57717,34.83041,29.80337,24.74723,20.0058,15.51442,15.15618,10.19538,9.87659,9.66795,7.63551,7.70507,7.80817
592.04999,0.09388,98.26222,89.11291,83.79044,78.00043,71.47359,64.67467,59.49313,54.21786,49.09794,43.74897,37.87439,32.76048,28.00471,23.52616,18.72555,14.80183,14.25552,9.55794,9.30338,9.22971,7.58436,7.19566,7.11019
593.96997,0.14989,91.14536,84.16302,78.82253,73.75994,69.25918,62.5764,57.24534,50.82029,47.21095,41.26039,36.2822,31.72223,26.54622,22.26081,17.86677,14.26471,13.86008,8.99306,9.03111,8.62344,7.16878,6.92064,6.91394
596.02002,0.19926,88.25967,81.43687,76.10714,70.18779,65.6467,59.8453,54.20071,48.39445,44.3883,39.21887,33.90981,30.6263,25.33528,20.85472,16.72019,13.57619,13.24307,8.74586,8.11373,8.20115,6.88869,6.54547,6.42547
597.94,0.04482,83.37193,76.82339,72.46781,66.63938,62.14565,56.64337,51.65579,46.1554,41.95402,36.84834,32.95583,28.25566,24.19204,19.78725,16.40001,12.94722,12.39892,7.96768,7.74495,7.65489,6.53717,6.51697,6.37483
600,0.0857,79.3471,72.07842,66.79349,63.7825,58.54301,53.53989,48.60695,44.39518,40.17122,35.73625,31.24656,27.26408,22.86341,18.95146,15.18369,12.12434,11.75328,7.76524,7.53628,7.2981,6.20615,6.14209,5.81274
